state,highway,exit,latitude,longitude
AR,I30,139B,34.73527555,-92.26306195000001
AR,I30,138B,34.708846,-92.274628
AR,I30,138A,34.7080294,-92.2786127
AR,I30,123,34.620021449999996,-92.49564245
AR,I30,117,34.574612849999994,-92.5883736
AR,I30,118,34.5878735,-92.5691655
AR,I30,114,34.54675435,-92.62958525
AR,I30,106,34.48212100000001,-92.72481785
AR,I30,2,33.475887,-94.0070901
AR,I30,7,33.510242500000004,-93.94608865000001
AR,I30,12,33.5489738,-93.8809351
AR,I30,99,34.413269549999995,-92.80576305
AR,I30,126,34.641213050000005,-92.44331919999999
AR,I30,3,33.4804278,-93.98796285
AR,I30,223,33.4713014,-94.0297649
AR,I40,107,35.175392,-92.74374599999999
AR,I40,108,35.1741926,-92.71820795
AR,I40,101,35.2193315,-92.83000949999999
AR,I40,117,35.1531253,-92.5534821
AR,I40,112,35.1629185,-92.6411765
AR,I40,20,35.51545265,-94.11363259999999
AR,I40,280,35.15624355,-90.13652685
AR,I40,265,35.1507086,-90.4006934
AR,I40,281,35.1569182,-90.1242086
AR,I40,271,35.1478628,-90.29269715000001
AR,I40,13,35.4890412,-94.2258844
AR,I40,5,35.3606826,-92.95515943333334
AR,I40,3,35.46050745,-94.39169255
AR,I40,7,35.45600715,-94.3183451
AR,I40,24,35.52808605,-94.0457517
AR,I40,277,35.16907995,-90.19534795000001
AR,I40,41,35.505133900000004,-93.75752399999999
AR,I40,35,35.5213488,-93.86501885
AR,I40,135,34.9711101,-92.4189437
AR,I40,125,35.10990995,-92.4370502
AR,I40,37,35.51524445,-93.82144944999999
AR,I40,127,35.0915903,-92.4226642
AR,I40,55,35.4639312,-93.51895565
AR,I40,64,35.414195,-93.3845
AR,I40,58,35.45165265,-93.4627185
AR,I40,57,35.45812,-93.482305
AR,I40,67,35.383995,-93.356565
AR,I40,47,35.4974956,-93.66297665
AR,I40,169,34.80181195,-91.99456555
AR,I40,183,34.800626949999995,-91.74806315000001
AR,I40,175,34.8040807,-91.8880519
AR,I40,165,34.7915632,-92.059158
AR,I40,216,34.908793349999996,-91.1973911
AR,I40,74,35.33632195,-93.2551829
AR,I40,78,35.3218289,-93.19091535
AR,I40,88,35.24968215,-93.0344965
AR,I40,94,35.25313175,-92.9350229
AR,I40,84,35.2825866,-93.09242665
AR,I40,83,35.290823599999996,-93.10727885
AR,I40,202,34.8461818,-91.414478
AR,I40,193,34.81904925,-91.56672795
AR,I40,142,34.885369,-92.3796105
AR,I40,154,34.7778176,-92.2461482
AR,I40,157,34.7787703,-92.2027634
AR,I40,147,34.8224108,-92.3389464
